TEAM,RUNS_CONCEDED
"Mumbai Indians",31130
"Royal Challengers Bangalore",30570
"Kings XI Punjab",30407
"Kolkata Knight Riders",29339
"Chennai Super Kings",27216
"Rajasthan Royals",24685
"Delhi Daredevils",24678
"Sunrisers Hyderabad",18924
"Deccan Chargers",11607
"Pune Warriors",6795
"Delhi Capitals",5351
"Gujarat Lions",5077
"Rising Pune Supergiant",2432
"Rising Pune Supergiants",2111
"Kochi Tuskers Kerala",1981
