TEAM,WICKET_TAKEN
"Mumbai Indians",1193
"Royal Challengers Bangalore",1067
"Chennai Super Kings",1061
"Kings XI Punjab",1038
"Kolkata Knight Riders",1019
"Rajasthan Royals",876
"Delhi Daredevils",860
"Sunrisers Hyderabad",736
"Deccan Chargers",426
"Pune Warriors",221
"Delhi Capitals",212
"Gujarat Lions",145
"Rising Pune Supergiant",106
"Rising Pune Supergiants",74
"Kochi Tuskers Kerala",66
