BOWLER_NAME,Match_Played,MOST_WICKETS
"Z Khan",99,59
"Sandeep Sharma",91,57
"B Kumar",120,53
"UT Yadav",109,49
"P Kumar",119,48
"DS Kulkarni",88,47
"R Ashwin",109,47
"Harbhajan Singh",107,46
"I Sharma",88,46
"A Nehra",88,45
