BOWLER_NAME
"A Ashish Reddy"
"R Vinay Kumar"
"RA Jadeja"
"RA Shaikh"
"RA Tripathi"
"Rashid Khan"
"Rasikh Salam"
"Ravi Bishnoi"
"RD Chahar"
"RE van der Merwe"
"RG More"
"RG Sharma"
"RJ Harris"
"RJ Peterson"
"RN ten Doeschate"
"RP Singh"
"RR Bhatkal"
"RR Bose"
"RR Powar"
"RR Raje"
"RS Bopara"
"RS Gavaskar"
"RV Gomez"
"RW Price"
"S Aravind"
"S Badree"
"S Dhawan"
"S Dube"
"S Gopal"
"S Kaul"
"S Kaushik"
"S Ladda"
"S Lamichhane"
"S Midhun"
"S Nadeem"
"S Narwal"
"S Rana"
"S Randiv"
"S Sandeep Warrier"
"S Sreesanth"
"S Sriram"
"S Tyagi"
"S Vidyut"
"SA Abbott"
"SA Yadav"
"Sachin Baby"
"Sandeep Sharma"
"SB Bangar"
"SB Jakati"
"SB Joshi"
"SB Styris"
"SB Wagh"
"SC Ganguly"
"SC Kuggeleijn"
"SD Chitnis"
"SE Bond"
"SE Rutherford"
"Shahbaz Ahmed"
"Shahid Afridi"
"Shakib Al Hasan"
"Shivam Mavi"
"Shivam Sharma"
"Shoaib Ahmed"
"Shoaib Akhtar"
"Shoaib Malik"
"SJ Srivastava"
"SK Raina"
"SK Trivedi"
"SK Warne"
"SL Malinga"
"SM Boland"
"SM Curran"
"SM Harwood"
"SM Pollock"
"SMSM Senanayake"
"SN Khan"
"SN Thakur"
"Sohail Tanvir"
"SP Narine"
"SPD Smith"
"SR Tendulkar"
"SR Watson"
"SS Agarwal"
"SS Cottrell"
"SS Mundhe"
"SS Sarkar"
"ST Jayasuriya"
"STR Binny"
"Sunny Gupta"
"SW Tait"
"Swapnil Singh"
"T Henderson"
"T Natarajan"
"T Shamsi"
"T Thushara"
"TA Boult"
"Tejas Baroka"
"TG Southee"
"TK Curran"
"TL Suman"
"TM Dilshan"
"TM Head"
"TP Sudhindra"
"TS Mills"
"TU Deshpande"
"Umar Gul"
"UT Yadav"
"V Kohli"
"V Pratap Singh"
"V Sehwag"
"V Shankar"
"VR Aaron"
"VRV Singh"
"VS Malik"
"VS Yeligati"
"VY Mahesh"
"WA Mota"
"Washington Sundar"
"WD Parnell"
"WPUJC Vaas"
"Y Gnaneswara Rao"
"Y Nagar"
"Y Prithvi Raj"
"Y Venugopal Rao"
"YA Abdulla"
"YK Pathan"
"YS Chahal"
"Yuvraj Singh"
"Z Khan"
