BOWLER_NAME,MATCH_PLAYED,MOST_WICKETS
"SL Malinga",122,188
"DJ Bravo",137,175
"A Mishra",150,169
"PP Chawla",163,164
"Harbhajan Singh",157,161
"R Ashwin",151,153
"B Kumar",121,146
"SP Narine",119,143
"UT Yadav",120,137
"R Vinay Kumar",104,127
