BOWLER_NAME,MATCH_PLAYED,WICKET_TAKEN,ECONOMY_RATE,BOWLING_AVG,TOTAL_RUNS_GIVEN,OVERS_BOWLED,BALLS_BOWLED,WIDES,NO_BALLS,FOURS,SIXES
"WA Mota",7,4,7.84,24.50,98,13,75,2,1,4,5
"Washington Sundar",35,26,6.89,29.15,758,110,660,5,1,46,32
"WD Parnell",26,31,7.30,23.58,731,100,601,24,5,80,11
"WPUJC Vaas",13,22,7.58,16.55,364,48,288,4,2,40,13
"Y Gnaneswara Rao",1,0,7.00,NULL,7,1,6,0,0,1,0
"Y Nagar",8,4,10.42,31.25,125,12,72,2,4,11,6
"Y Prithvi Raj",2,1,10.36,57.00,57,6,33,3,0,6,2
"Y Venugopal Rao",20,7,9.14,48.29,338,37,222,6,0,30,13
"YA Abdulla",11,15,8.41,20.73,311,37,222,12,1,32,13
"YK Pathan",82,46,7.31,31.37,1443,197,1184,37,0,99,57
"YS Chahal",98,124,7.63,22.44,2782,365,2188,50,8,158,135
"Yuvraj Singh",73,39,7.42,27.97,1091,147,882,12,1,59,41
"Z Khan",99,119,7.54,24.03,2860,379,2276,74,2,312,64
