BOWLER_NAME,MATCH_PLAYED,WICKET_TAKEN,ECONOMY_RATE,BOWLING_AVG,TOTAL_RUNS_GIVEN,OVERS_BOWLED,BALLS_BOWLED,WIDES,NO_BALLS,FOURS,SIXES
"M de Lange",5,6,8.84,28.50,171,19,116,6,2,21,4
"M Kartik",55,39,7.20,36.36,1418,197,1182,28,5,97,41
"M Manhas",3,0,6.00,NULL,42,7,42,0,0,2,1
"M Markande",17,16,8.56,27.19,435,51,305,5,0,36,20
"M Morkel",70,88,7.54,24.27,2136,283,1699,57,13,230,61
"M Muralitharan",66,66,6.68,26.59,1755,263,1577,51,2,104,66
"M Ntini",9,8,7.24,32.13,257,36,213,1,2,29,8
"M Prasidh Krishna",24,20,9.00,40.50,810,90,540,19,5,97,24
"M Vijay",4,0,7.95,NULL,49,6,37,1,0,6,0
"MA Khote",2,2,10.40,26.00,52,5,30,0,0,4,2
"MA Starc",26,39,7.11,18.59,725,102,612,29,3,77,8
"MA Wood",1,0,12.00,NULL,50,4,25,1,0,6,2
"Mandeep Singh",2,0,13.00,NULL,26,2,12,0,0,1,2
"Mashrafe Mortaza",1,1,12.64,59.00,59,5,28,2,2,4,4
"MB Parmar",1,0,10.42,NULL,33,3,19,1,0,6,0
"MC Henriques",55,42,8.20,29.88,1255,153,918,27,1,120,37
"MF Maharoof",20,33,7.24,16.12,532,74,441,16,5,46,16
"MG Johnson",54,64,8.02,27.09,1734,216,1297,57,8,195,55
