IPL_EDITION,VENUE,CITY,DATES,TEAM1_IRRESPECTIVE_OF_INNING,TEAM2_IRRESPECTIVE_OF_INNING,FIRST_INNING,SECOND_INNING,WINNING_TEAM,MOM
2009,"SuperSport Park",Centurion,2009-05-06,"Deccan Chargers","Mumbai Indians",145/6,126/8,"Deccan Chargers","RG Sharma"
2009,"SuperSport Park",Centurion,2009-05-07,"Royal Challengers Bangalore","Rajasthan Royals",105/10,107/3,"Rajasthan Royals","A Singh"
2009,"SuperSport Park",Centurion,2009-05-07,"Chennai Super Kings","Kings XI Punjab",185/3,174/3,"Chennai Super Kings","ML Hayden"
2009,"Buffalo Park","East London",2009-05-08,"Delhi Daredevils","Mumbai Indians",116/10,118/3,"Delhi Daredevils","A Nehra"
2009,"De Beers Diamond Oval",Kimberley,2009-05-09,"Deccan Chargers","Kings XI Punjab",168/5,169/7,"Kings XI Punjab","DPMD Jayawardene"
2009,"De Beers Diamond Oval",Kimberley,2009-05-09,"Chennai Super Kings","Rajasthan Royals",140/7,141/3,"Chennai Super Kings","S Badrinath"
2009,"St George's Park","Port Elizabeth",2009-05-10,"Royal Challengers Bangalore","Mumbai Indians",157/2,141/7,"Mumbai Indians","JP Duminy"
2009,"New Wanderers Stadium",Johannesburg,2009-05-10,"Delhi Daredevils","Kolkata Knight Riders",123/8,125/3,"Delhi Daredevils","A Mishra"
2009,"De Beers Diamond Oval",Kimberley,2009-05-11,"Deccan Chargers","Rajasthan Royals",166/7,113/10,"Deccan Chargers","DR Smith"
2009,"SuperSport Park",Centurion,2009-05-12,"Royal Challengers Bangalore","Kolkata Knight Riders",173/4,176/4,"Royal Challengers Bangalore","LRPL Taylor"
2009,"SuperSport Park",Centurion,2009-05-12,"Kings XI Punjab","Mumbai Indians",119/9,122/2,"Mumbai Indians","Harbhajan Singh"
2009,Kingsmead,Durban,2009-05-13,"Deccan Chargers","Delhi Daredevils",173/7,161/10,"Delhi Daredevils","R Bhatia"
2009,Kingsmead,Durban,2009-05-14,"Royal Challengers Bangalore","Chennai Super Kings",129/10,132/8,"Royal Challengers Bangalore","LRPL Taylor"
2009,Kingsmead,Durban,2009-05-14,"Mumbai Indians","Rajasthan Royals",145/7,143/10,"Rajasthan Royals","SK Warne"
2009,"OUTsurance Oval",Bloemfontein,2009-05-15,"Delhi Daredevils","Kings XI Punjab",120/9,123/4,"Kings XI Punjab","B Lee"
2009,"St George's Park","Port Elizabeth",2009-05-16,"Chennai Super Kings","Mumbai Indians",147/5,151/3,"Chennai Super Kings","ML Hayden"
2009,"New Wanderers Stadium",Johannesburg,2009-05-16,"Deccan Chargers","Kolkata Knight Riders",160/5,166/4,"Deccan Chargers","RG Sharma"
2009,"New Wanderers Stadium",Johannesburg,2009-05-17,"Deccan Chargers","Kings XI Punjab",134/7,133/8,"Kings XI Punjab","Yuvraj Singh"
2009,"OUTsurance Oval",Bloemfontein,2009-05-17,"Delhi Daredevils","Rajasthan Royals",150/3,136/9,"Delhi Daredevils","AB de Villiers"
2009,"SuperSport Park",Centurion,2009-05-18,"Chennai Super Kings","Kolkata Knight Riders",188/3,189/3,"Kolkata Knight Riders","BJ Hodge"
2009,"New Wanderers Stadium",Johannesburg,2009-05-19,"Royal Challengers Bangalore","Delhi Daredevils",134/7,135/3,"Royal Challengers Bangalore","JH Kallis"
2009,Kingsmead,Durban,2009-05-20,"Kolkata Knight Riders","Rajasthan Royals",101/9,102/6,"Kolkata Knight Riders","LR Shukla"
2009,Kingsmead,Durban,2009-05-20,"Chennai Super Kings","Kings XI Punjab",116/9,92/8,"Chennai Super Kings","M Muralitharan"
2009,"SuperSport Park",Centurion,2009-05-21,"Delhi Daredevils","Mumbai Indians",165/8,166/6,"Delhi Daredevils","V Sehwag"
2009,"SuperSport Park",Centurion,2009-05-21,"Royal Challengers Bangalore","Deccan Chargers",170/4,158/6,"Royal Challengers Bangalore","MK Pandey"
2009,"SuperSport Park",Centurion,2009-05-22,"Delhi Daredevils","Deccan Chargers",153/8,154/4,"Deccan Chargers","AC Gilchrist"
2009,"New Wanderers Stadium",Johannesburg,2009-05-23,"Royal Challengers Bangalore","Chennai Super Kings",146/5,149/4,"Royal Challengers Bangalore","MK Pandey"
2009,"New Wanderers Stadium",Johannesburg,2009-05-24,"Royal Challengers Bangalore","Deccan Chargers",143/6,137/9,"Deccan Chargers","A Kumble"
2010,"Dr DY Patil Sports Academy",Mumbai,2010-03-12,"Deccan Chargers","Kolkata Knight Riders",161/4,150/7,"Kolkata Knight Riders","AD Mathews"
2010,"Brabourne Stadium",Mumbai,2010-03-13,"Mumbai Indians","Rajasthan Royals",212/7,208/7,"Mumbai Indians","YK Pathan"
2010,"Eden Gardens",Kolkata,2010-03-14,"Kolkata Knight Riders","Royal Challengers Bangalore",135/7,136/3,"Kolkata Knight Riders","MK Tiwary"
2010,"M Chinnaswamy Stadium",Bangalore,2010-03-16,"Royal Challengers Bangalore","Kings XI Punjab",203/3,204/2,"Royal Challengers Bangalore","JH Kallis"
2010,"Eden Gardens",Kolkata,2010-03-16,"Kolkata Knight Riders","Chennai Super Kings",164/3,109/10,"Chennai Super Kings","MS Dhoni"
2010,"Feroz Shah Kotla",Delhi,2010-03-17,"Delhi Daredevils","Mumbai Indians",218/7,120/9,"Mumbai Indians","SR Tendulkar"
2010,"M Chinnaswamy Stadium",Bangalore,2010-03-18,"Royal Challengers Bangalore","Rajasthan Royals",92/10,93/0,"Royal Challengers Bangalore","JH Kallis"
2010,"Feroz Shah Kotla",Delhi,2010-03-19,"Delhi Daredevils","Chennai Super Kings",185/6,190/5,"Chennai Super Kings","ML Hayden"
2010,"Barabati Stadium",Cuttack,2010-03-19,"Deccan Chargers","Kings XI Punjab",170/8,164/8,"Deccan Chargers","A Symonds"
2010,"Brabourne Stadium",Mumbai,2010-03-20,"Mumbai Indians","Royal Challengers Bangalore",151/9,155/3,"Royal Challengers Bangalore","JH Kallis"
2010,"Barabati Stadium",Cuttack,2010-03-21,"Deccan Chargers","Delhi Daredevils",171/6,161/9,"Deccan Chargers","A Symonds"
2010,"Brabourne Stadium",Mumbai,2010-03-22,"Mumbai Indians","Kolkata Knight Riders",155/3,156/3,"Mumbai Indians","SR Tendulkar"
2010,"M Chinnaswamy Stadium",Bangalore,2010-03-23,"Royal Challengers Bangalore","Chennai Super Kings",171/5,135/7,"Royal Challengers Bangalore","RV Uthappa"
2010,"Brabourne Stadium",Mumbai,2010-03-25,"Mumbai Indians","Chennai Super Kings",180/2,181/5,"Mumbai Indians","SR Tendulkar"
2010,"M Chinnaswamy Stadium",Bangalore,2010-03-25,"Royal Challengers Bangalore","Delhi Daredevils",183/4,166/9,"Delhi Daredevils","KM Jadhav"
2010,"Dr DY Patil Sports Academy",Mumbai,2010-03-28,"Deccan Chargers","Mumbai Indians",172/7,131/10,"Mumbai Indians","Harbhajan Singh"
2010,"Feroz Shah Kotla",Delhi,2010-03-29,"Delhi Daredevils","Kolkata Knight Riders",177/4,137/9,"Delhi Daredevils","DA Warner"
2010,"Brabourne Stadium",Mumbai,2010-03-30,"Mumbai Indians","Kings XI Punjab",163/10,164/6,"Mumbai Indians","SL Malinga"
2010,"Feroz Shah Kotla",Delhi,2010-03-31,"Delhi Daredevils","Rajasthan Royals",188/6,121/10,"Delhi Daredevils","KD Karthik"
2010,"Eden Gardens",Kolkata,2010-04-01,"Kolkata Knight Riders","Deccan Chargers",181/6,157/5,"Kolkata Knight Riders","SC Ganguly"
2010,"Brabourne Stadium",Mumbai,2010-04-03,"Mumbai Indians","Deccan Chargers",178/5,115/10,"Mumbai Indians","AT Rayudu"
2010,"Eden Gardens",Kolkata,2010-04-04,"Kolkata Knight Riders","Kings XI Punjab",200/3,204/2,"Kings XI Punjab","DPMD Jayawardene"
2010,"Feroz Shah Kotla",Delhi,2010-04-04,"Delhi Daredevils","Royal Challengers Bangalore",184/5,147/9,"Delhi Daredevils","PD Collingwood"
2010,"Sawai Mansingh Stadium",Jaipur,2010-04-07,"Rajasthan Royals","Kings XI Punjab",153/6,157/1,"Rajasthan Royals","MJ Lumb"
2010,"Eden Gardens",Kolkata,2010-04-07,"Kolkata Knight Riders","Delhi Daredevils",181/3,167/8,"Kolkata Knight Riders","SC Ganguly"
2010,"M Chinnaswamy Stadium",Bangalore,2010-04-08,"Royal Challengers Bangalore","Deccan Chargers",184/6,186/3,"Deccan Chargers","TL Suman"
2010,"M Chinnaswamy Stadium",Bangalore,2010-04-10,"Royal Challengers Bangalore","Kolkata Knight Riders",160/9,162/3,"Royal Challengers Bangalore","R Vinay Kumar"
2010,"Feroz Shah Kotla",Delhi,2010-04-11,"Delhi Daredevils","Kings XI Punjab",111/10,112/3,"Kings XI Punjab","PP Chawla"
2010,"Sawai Mansingh Stadium",Jaipur,2010-04-11,"Rajasthan Royals","Mumbai Indians",174/5,137/8,"Mumbai Indians","SR Tendulkar"
2010,"Brabourne Stadium",Mumbai,2010-04-13,"Mumbai Indians","Delhi Daredevils",183/4,144/7,"Mumbai Indians","KA Pollard"
2010,"Sawai Mansingh Stadium",Jaipur,2010-04-14,"Rajasthan Royals","Royal Challengers Bangalore",130/6,132/5,"Royal Challengers Bangalore","KP Pietersen"
2010,"Himachal Pradesh Cricket Association Stadium",Dharamsala,2010-04-16,"Kings XI Punjab","Deccan Chargers",174/3,178/5,"Deccan Chargers","RG Sharma"
2010,"M Chinnaswamy Stadium",Bangalore,2010-04-17,"Royal Challengers Bangalore","Mumbai Indians",191/4,134/9,"Mumbai Indians","R McLaren"
2010,"Eden Gardens",Kolkata,2010-04-17,"Kolkata Knight Riders","Rajasthan Royals",132/9,133/2,"Kolkata Knight Riders","JD Unadkat"
2010,"Himachal Pradesh Cricket Association Stadium",Dharamsala,2010-04-18,"Kings XI Punjab","Chennai Super Kings",192/3,195/4,"Chennai Super Kings","MS Dhoni"
2010,"Feroz Shah Kotla",Delhi,2010-04-18,"Delhi Daredevils","Deccan Chargers",145/7,134/7,"Deccan Chargers","A Symonds"
2010,"Eden Gardens",Kolkata,2010-04-19,"Kolkata Knight Riders","Mumbai Indians",133/8,135/1,"Kolkata Knight Riders","M Kartik"
2010,"Dr DY Patil Sports Academy",Mumbai,2010-04-21,"Royal Challengers Bangalore","Mumbai Indians",184/5,149/9,"Mumbai Indians","KA Pollard"
2010,"Dr DY Patil Sports Academy",Mumbai,2010-04-22,"Chennai Super Kings","Deccan Chargers",142/7,104/10,"Chennai Super Kings","DE Bollinger"
2010,"Dr DY Patil Sports Academy",Mumbai,2010-04-24,"Royal Challengers Bangalore","Deccan Chargers",82/10,86/1,"Royal Challengers Bangalore","A Kumble"
2010,"Dr DY Patil Sports Academy",Mumbai,2010-04-25,"Chennai Super Kings","Mumbai Indians",168/5,146/9,"Chennai Super Kings","SK Raina"
2011,"Nehru Stadium",Kochi,2011-04-09,"Kochi Tuskers Kerala","Royal Challengers Bangalore",161/5,162/4,"Royal Challengers Bangalore","AB de Villiers"
2011,"Feroz Shah Kotla",Delhi,2011-04-10,"Delhi Daredevils","Mumbai Indians",95/10,99/2,"Mumbai Indians","SL Malinga"
2011,"Dr DY Patil Sports Academy",Mumbai,2011-04-10,"Pune Warriors","Kings XI Punjab",112/8,113/3,"Pune Warriors","SB Wagh"
2011,"Eden Gardens",Kolkata,2011-04-11,"Kolkata Knight Riders","Deccan Chargers",163/4,154/8,"Kolkata Knight Riders","JH Kallis"
2011,"Sawai Mansingh Stadium",Jaipur,2011-04-12,"Rajasthan Royals","Delhi Daredevils",151/6,152/4,"Rajasthan Royals","SK Warne"
2011,"M Chinnaswamy Stadium",Bangalore,2011-04-12,"Royal Challengers Bangalore","Mumbai Indians",140/4,143/1,"Mumbai Indians","SR Tendulkar"
2011,"Dr DY Patil Sports Academy",Mumbai,2011-04-13,"Pune Warriors","Kochi Tuskers Kerala",148/8,151/6,"Pune Warriors","MD Mishra"
2011,"Sawai Mansingh Stadium",Jaipur,2011-04-15,"Rajasthan Royals","Kolkata Knight Riders",159/4,160/1,"Kolkata Knight Riders","G Gambhir"
2011,"Wankhede Stadium",Mumbai,2011-04-15,"Mumbai Indians","Kochi Tuskers Kerala",182/2,184/2,"Kochi Tuskers Kerala","BB McCullum"
