IPL_EDITION,VENUE,CITY,DATES,TEAM1_IRRESPECTIVE_OF_INNING,TEAM2_IRRESPECTIVE_OF_INNING,FIRST_INNING,SECOND_INNING,WINNING_TEAM,MOM
2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",Visakhapatnam,2012-04-09,"Deccan Chargers","Mumbai Indians",138/9,142/5,"Mumbai Indians","RG Sharma"
2012,"M Chinnaswamy Stadium",Bangalore,2012-04-10,"Royal Challengers Bangalore","Kolkata Knight Riders",165/8,123/9,"Kolkata Knight Riders","L Balaji"
2012,"Feroz Shah Kotla",Delhi,2012-04-10,"Delhi Daredevils","Chennai Super Kings",110/8,111/2,"Delhi Daredevils","M Morkel"
2012,"Wankhede Stadium",Mumbai,2012-04-11,"Mumbai Indians","Rajasthan Royals",197/6,170/10,"Mumbai Indians","KA Pollard"
2012,"Eden Gardens",Kolkata,2012-04-13,"Kolkata Knight Riders","Rajasthan Royals",131/5,137/5,"Kolkata Knight Riders","Shakib Al Hasan"
2012,"Feroz Shah Kotla",Delhi,2012-04-19,"Delhi Daredevils","Deccan Chargers",157/8,162/5,"Delhi Daredevils","KP Pietersen"
2012,"Subrata Roy Sahara Stadium",Pune,2012-04-14,"Pune Warriors","Chennai Super Kings",155/5,156/3,"Pune Warriors","JD Ryder"
2012,"Eden Gardens",Kolkata,2012-04-15,"Kolkata Knight Riders","Kings XI Punjab",134/9,132/7,"Kings XI Punjab","SP Narine"
2012,"M Chinnaswamy Stadium",Bangalore,2012-04-15,"Royal Challengers Bangalore","Rajasthan Royals",195/2,136/10,"Rajasthan Royals","AM Rahane"
2012,"Wankhede Stadium",Mumbai,2012-04-16,"Mumbai Indians","Delhi Daredevils",92/10,93/3,"Delhi Daredevils","S Nadeem"
2012,"Sawai Mansingh Stadium",Jaipur,2012-04-17,"Rajasthan Royals","Deccan Chargers",196/2,197/5,"Rajasthan Royals","BJ Hodge"
2012,"M Chinnaswamy Stadium",Bangalore,2012-04-17,"Royal Challengers Bangalore","Pune Warriors",182/6,186/4,"Royal Challengers Bangalore","CH Gayle"
2012,"Feroz Shah Kotla",Delhi,2012-04-21,"Delhi Daredevils","Pune Warriors",192/3,172/7,"Pune Warriors","SC Ganguly"
2012,"Wankhede Stadium",Mumbai,2012-04-22,"Mumbai Indians","Kings XI Punjab",163/6,164/4,"Kings XI Punjab","SE Marsh"
2012,"Barabati Stadium",Cuttack,2012-04-22,"Deccan Chargers","Kolkata Knight Riders",126/7,127/5,"Kolkata Knight Riders","B Lee"
2012,"Sawai Mansingh Stadium",Jaipur,2012-04-23,"Rajasthan Royals","Royal Challengers Bangalore",189/3,143/7,"Royal Challengers Bangalore","AB de Villiers"
2012,"Subrata Roy Sahara Stadium",Pune,2012-04-24,"Pune Warriors","Delhi Daredevils",146/2,148/2,"Delhi Daredevils","V Sehwag"
2012,"Subrata Roy Sahara Stadium",Pune,2012-04-26,"Pune Warriors","Deccan Chargers",177/4,159/7,"Deccan Chargers","CL White"
2012,"Feroz Shah Kotla",Delhi,2012-04-27,"Delhi Daredevils","Mumbai Indians",207/5,170/9,"Delhi Daredevils","V Sehwag"
2012,"Eden Gardens",Kolkata,2012-04-28,"Kolkata Knight Riders","Royal Challengers Bangalore",190/4,143/6,"Kolkata Knight Riders","G Gambhir"
2012,"Feroz Shah Kotla",Delhi,2012-04-29,"Delhi Daredevils","Rajasthan Royals",152/6,151/3,"Delhi Daredevils","V Sehwag"
2012,"Wankhede Stadium",Mumbai,2012-04-29,"Mumbai Indians","Deccan Chargers",100/10,101/5,"Mumbai Indians","DW Steyn"
2012,"Barabati Stadium",Cuttack,2012-05-01,"Deccan Chargers","Pune Warriors",186/4,173/5,"Deccan Chargers","KC Sangakkara"
2012,"Sawai Mansingh Stadium",Jaipur,2012-05-01,"Rajasthan Royals","Delhi Daredevils",141/6,144/4,"Delhi Daredevils","P Negi"
2012,"M Chinnaswamy Stadium",Bangalore,2012-05-02,"Royal Challengers Bangalore","Kings XI Punjab",158/5,163/6,"Kings XI Punjab","Azhar Mahmood"
2012,"Subrata Roy Sahara Stadium",Pune,2012-05-03,"Pune Warriors","Mumbai Indians",120/9,119/6,"Mumbai Indians","SL Malinga"
2012,"Eden Gardens",Kolkata,2012-05-05,"Kolkata Knight Riders","Pune Warriors",150/5,143/8,"Kolkata Knight Riders","SP Narine"
2012,"Wankhede Stadium",Mumbai,2012-05-06,"Mumbai Indians","Chennai Super Kings",173/8,174/8,"Mumbai Indians","DR Smith"
2012,"M Chinnaswamy Stadium",Bangalore,2012-05-06,"Royal Challengers Bangalore","Deccan Chargers",181/2,185/5,"Royal Challengers Bangalore","AB de Villiers"
2012,"Feroz Shah Kotla",Delhi,2012-05-07,"Delhi Daredevils","Kolkata Knight Riders",153/9,154/4,"Kolkata Knight Riders","JH Kallis"
2012,"Subrata Roy Sahara Stadium",Pune,2012-05-08,"Pune Warriors","Rajasthan Royals",125/6,126/3,"Rajasthan Royals","SR Watson"
2012,"Wankhede Stadium",Mumbai,2012-05-09,"Mumbai Indians","Royal Challengers Bangalore",141/6,142/1,"Royal Challengers Bangalore","CH Gayle"
2012,"Sawai Mansingh Stadium",Jaipur,2012-05-10,"Rajasthan Royals","Chennai Super Kings",126/6,127/6,"Chennai Super Kings","BW Hilfenhaus"
2012,"Subrata Roy Sahara Stadium",Pune,2012-05-11,"Pune Warriors","Royal Challengers Bangalore",173/3,138/9,"Royal Challengers Bangalore","CH Gayle"
2012,"Eden Gardens",Kolkata,2012-05-12,"Kolkata Knight Riders","Mumbai Indians",182/1,155/4,"Mumbai Indians","RG Sharma"
2012,"Sawai Mansingh Stadium",Jaipur,2012-05-13,"Rajasthan Royals","Pune Warriors",170/4,125/9,"Rajasthan Royals","A Chandila"
2012,"M Chinnaswamy Stadium",Bangalore,2012-05-14,"Royal Challengers Bangalore","Mumbai Indians",171/6,173/5,"Mumbai Indians","AT Rayudu"
2012,"Eden Gardens",Kolkata,2012-05-14,"Kolkata Knight Riders","Chennai Super Kings",158/6,160/5,"Chennai Super Kings","MEK Hussey"
2012,"Feroz Shah Kotla",Delhi,2012-05-15,"Delhi Daredevils","Kings XI Punjab",136/8,140/5,"Delhi Daredevils","UT Yadav"
2012,"Wankhede Stadium",Mumbai,2012-05-16,"Mumbai Indians","Kolkata Knight Riders",140/7,108/10,"Kolkata Knight Riders","SP Narine"
2012,"Himachal Pradesh Cricket Association Stadium",Dharamsala,2012-05-17,"Kings XI Punjab","Chennai Super Kings",120/7,123/4,"Kings XI Punjab","AC Gilchrist"
2012,"Feroz Shah Kotla",Delhi,2012-05-17,"Delhi Daredevils","Royal Challengers Bangalore",215/1,194/9,"Royal Challengers Bangalore","CH Gayle"
2012,"Himachal Pradesh Cricket Association Stadium",Dharamsala,2012-05-19,"Kings XI Punjab","Delhi Daredevils",141/8,145/4,"Delhi Daredevils","UT Yadav"
2012,"Subrata Roy Sahara Stadium",Pune,2012-05-19,"Pune Warriors","Kolkata Knight Riders",136/4,102/8,"Kolkata Knight Riders","Shakib Al Hasan"
2012,"Sawai Mansingh Stadium",Jaipur,2012-05-20,"Rajasthan Royals","Mumbai Indians",162/6,163/0,"Mumbai Indians","DR Smith"
2012,"Subrata Roy Sahara Stadium",Pune,2012-05-22,"Delhi Daredevils","Kolkata Knight Riders",162/4,144/8,"Kolkata Knight Riders","YK Pathan"
2012,"M Chinnaswamy Stadium",Bangalore,2012-05-23,"Chennai Super Kings","Mumbai Indians",187/5,149/9,"Chennai Super Kings","MS Dhoni"
2013,"Eden Gardens",Kolkata,2013-04-03,"Kolkata Knight Riders","Delhi Daredevils",128/10,129/4,"Kolkata Knight Riders","SP Narine"
2013,"M Chinnaswamy Stadium",Bangalore,2013-04-04,"Royal Challengers Bangalore","Mumbai Indians",156/5,154/5,"Royal Challengers Bangalore","CH Gayle"
2013,"Feroz Shah Kotla",Delhi,2013-04-06,"Delhi Daredevils","Rajasthan Royals",165/7,160/6,"Rajasthan Royals","R Dravid"
2013,"Subrata Roy Sahara Stadium",Pune,2013-04-07,"Pune Warriors","Kings XI Punjab",99/9,100/2,"Kings XI Punjab","M Vohra"
2013,"Sawai Mansingh Stadium",Jaipur,2013-04-08,"Rajasthan Royals","Kolkata Knight Riders",144/6,125/10,"Rajasthan Royals","SK Trivedi"
2013,"Wankhede Stadium",Mumbai,2013-04-09,"Mumbai Indians","Delhi Daredevils",209/5,165/9,"Mumbai Indians","KD Karthik"
2013,"M Chinnaswamy Stadium",Bangalore,2013-04-11,"Royal Challengers Bangalore","Kolkata Knight Riders",154/8,158/2,"Royal Challengers Bangalore","CH Gayle"
2013,"Subrata Roy Sahara Stadium",Pune,2013-04-11,"Pune Warriors","Rajasthan Royals",145/5,148/3,"Pune Warriors","AJ Finch"
2013,"Feroz Shah Kotla",Delhi,2013-04-12,"Delhi Daredevils","Sunrisers Hyderabad",114/8,115/7,"Sunrisers Hyderabad","A Mishra"
2013,"Wankhede Stadium",Mumbai,2013-04-13,"Mumbai Indians","Pune Warriors",183/3,142/8,"Mumbai Indians","RG Sharma"
2013,"Eden Gardens",Kolkata,2013-04-14,"Kolkata Knight Riders","Sunrisers Hyderabad",180/4,132/7,"Kolkata Knight Riders","G Gambhir"
2013,"Sawai Mansingh Stadium",Jaipur,2013-04-14,"Rajasthan Royals","Kings XI Punjab",124/10,126/4,"Rajasthan Royals","JP Faulkner"
2013,"M Chinnaswamy Stadium",Bangalore,2013-04-16,"Royal Challengers Bangalore","Delhi Daredevils",152/5,152/7,"Royal Challengers Bangalore","V Kohli"
2013,"Subrata Roy Sahara Stadium",Pune,2013-04-17,"Pune Warriors","Sunrisers Hyderabad",119/8,108/10,"Sunrisers Hyderabad","A Mishra"
2013,"Sawai Mansingh Stadium",Jaipur,2013-04-17,"Rajasthan Royals","Mumbai Indians",179/3,92/10,"Rajasthan Royals","AM Rahane"
2013,"Feroz Shah Kotla",Delhi,2013-04-18,"Delhi Daredevils","Chennai Super Kings",169/4,83/10,"Chennai Super Kings","MEK Hussey"
2013,"Eden Gardens",Kolkata,2013-04-20,"Kolkata Knight Riders","Chennai Super Kings",119/9,124/6,"Chennai Super Kings","RA Jadeja"
2013,"M Chinnaswamy Stadium",Bangalore,2013-04-20,"Royal Challengers Bangalore","Rajasthan Royals",117/10,123/3,"Royal Challengers Bangalore","R Vinay Kumar"
2013,"Feroz Shah Kotla",Delhi,2013-04-21,"Delhi Daredevils","Mumbai Indians",161/4,165/1,"Delhi Daredevils","V Sehwag"
2013,"M Chinnaswamy Stadium",Bangalore,2013-04-23,"Royal Challengers Bangalore","Pune Warriors",263/5,133/9,"Royal Challengers Bangalore","CH Gayle"
2013,"Himachal Pradesh Cricket Association Stadium",Dharamsala,2013-05-16,"Kings XI Punjab","Delhi Daredevils",171/4,164/7,"Kings XI Punjab","DA Miller"
2013,"Eden Gardens",Kolkata,2013-04-24,"Kolkata Knight Riders","Mumbai Indians",159/6,162/5,"Mumbai Indians","DR Smith"
2013,"Eden Gardens",Kolkata,2013-04-26,"Kolkata Knight Riders","Kings XI Punjab",149/6,150/4,"Kolkata Knight Riders","JH Kallis"
2013,"Sawai Mansingh Stadium",Jaipur,2013-04-27,"Rajasthan Royals","Sunrisers Hyderabad",144/9,146/2,"Rajasthan Royals","JP Faulkner"
2013,"Wankhede Stadium",Mumbai,2013-04-27,"Mumbai Indians","Royal Challengers Bangalore",194/7,136/7,"Mumbai Indians","DR Smith"
2013,"Shaheed Veer Narayan Singh International Stadium",Raipur,2013-04-28,"Delhi Daredevils","Pune Warriors",164/5,149/4,"Delhi Daredevils","DA Warner"
2013,"Sawai Mansingh Stadium",Jaipur,2013-04-29,"Rajasthan Royals","Royal Challengers Bangalore",171/6,173/6,"Rajasthan Royals","SV Samson"
2013,"Wankhede Stadium",Mumbai,2013-04-29,"Mumbai Indians","Kings XI Punjab",174/3,170/10,"Mumbai Indians","RG Sharma"
2013,"Subrata Roy Sahara Stadium",Pune,2013-04-30,"Pune Warriors","Chennai Super Kings",164/3,127/9,"Chennai Super Kings","MS Dhoni"
2013,"Shaheed Veer Narayan Singh International Stadium",Raipur,2013-05-01,"Delhi Daredevils","Kolkata Knight Riders",136/7,137/3,"Delhi Daredevils","DA Warner"
2013,"Subrata Roy Sahara Stadium",Pune,2013-05-02,"Pune Warriors","Royal Challengers Bangalore",187/3,170/9,"Royal Challengers Bangalore","AB de Villiers"
2013,"Eden Gardens",Kolkata,2013-05-03,"Kolkata Knight Riders","Rajasthan Royals",132/6,133/2,"Kolkata Knight Riders","YK Pathan"
2013,"M Chinnaswamy Stadium",Bangalore,2013-05-14,"Royal Challengers Bangalore","Kings XI Punjab",174/5,176/3,"Kings XI Punjab","AC Gilchrist"
2013,"Wankhede Stadium",Mumbai,2013-05-05,"Mumbai Indians","Chennai Super Kings",139/5,79/10,"Mumbai Indians","MG Johnson"
2013,"Sawai Mansingh Stadium",Jaipur,2013-05-05,"Rajasthan Royals","Pune Warriors",178/4,182/5,"Rajasthan Royals","AM Rahane"
2013,"M Chinnaswamy Stadium",Bangalore,2013-04-09,"Royal Challengers Bangalore","Sunrisers Hyderabad",161/6,162/3,"Royal Challengers Bangalore","V Kohli"
2013,"Sawai Mansingh Stadium",Jaipur,2013-05-07,"Rajasthan Royals","Delhi Daredevils",154/4,155/1,"Rajasthan Royals","AM Rahane"
2013,"Wankhede Stadium",Mumbai,2013-05-07,"Mumbai Indians","Kolkata Knight Riders",170/6,105/10,"Mumbai Indians","SR Tendulkar"
2013,"Subrata Roy Sahara Stadium",Pune,2013-05-09,"Pune Warriors","Kolkata Knight Riders",152/6,106/10,"Kolkata Knight Riders","G Gambhir"
2013,"Feroz Shah Kotla",Delhi,2013-05-10,"Delhi Daredevils","Royal Challengers Bangalore",183/4,179/7,"Royal Challengers Bangalore","JD Unadkat"
2013,"Subrata Roy Sahara Stadium",Pune,2013-05-11,"Pune Warriors","Mumbai Indians",112/8,116/5,"Mumbai Indians","MG Johnson"
2013,"JSCA International Stadium Complex",Ranchi,2013-05-12,"Kolkata Knight Riders","Royal Challengers Bangalore",115/9,116/5,"Kolkata Knight Riders","JH Kallis"
2013,"Sawai Mansingh Stadium",Jaipur,2013-05-12,"Rajasthan Royals","Chennai Super Kings",141/4,144/5,"Rajasthan Royals","SR Watson"
2013,"Feroz Shah Kotla",Delhi,2013-04-23,"Delhi Daredevils","Kings XI Punjab",120/7,121/5,"Kings XI Punjab","Harmeet Singh"
2013,"Wankhede Stadium",Mumbai,2013-05-13,"Mumbai Indians","Sunrisers Hyderabad",178/3,184/4,"Mumbai Indians","KA Pollard"
2013,"JSCA International Stadium Complex",Ranchi,2013-05-15,"Kolkata Knight Riders","Pune Warriors",170/4,163/7,"Pune Warriors","MK Pandey"
2013,"Wankhede Stadium",Mumbai,2013-05-15,"Mumbai Indians","Rajasthan Royals",166/8,152/7,"Mumbai Indians","AP Tare"
2013,"Himachal Pradesh Cricket Association Stadium",Dharamsala,2013-05-18,"Kings XI Punjab","Mumbai Indians",183/8,133/9,"Kings XI Punjab","Azhar Mahmood"
2013,"Subrata Roy Sahara Stadium",Pune,2013-05-19,"Pune Warriors","Delhi Daredevils",172/5,134/9,"Pune Warriors","LJ Wright"
2013,"M Chinnaswamy Stadium",Bangalore,2013-05-18,"Royal Challengers Bangalore","Chennai Super Kings",106/2,82/6,"Royal Challengers Bangalore","V Kohli"
2013,"Feroz Shah Kotla",Delhi,2013-05-21,"Chennai Super Kings","Mumbai Indians",192/1,144/10,"Chennai Super Kings","MEK Hussey"
2013,"Feroz Shah Kotla",Delhi,2013-05-22,"Rajasthan Royals","Sunrisers Hyderabad",132/7,135/6,"Rajasthan Royals","BJ Hodge"
2013,"Eden Gardens",Kolkata,2013-05-24,"Mumbai Indians","Rajasthan Royals",165/6,169/6,"Mumbai Indians","Harbhajan Singh"
2013,"Eden Gardens",Kolkata,2013-05-26,"Chennai Super Kings","Mumbai Indians",148/9,125/9,"Mumbai Indians","KA Pollard"
2014,"Sheikh Zayed Stadium","Abu Dhabi",2014-04-16,"Mumbai Indians","Kolkata Knight Riders",163/5,122/7,"Kolkata Knight Riders","JH Kallis"
2014,"Sharjah Cricket Stadium",NA,2014-04-17,"Delhi Daredevils","Royal Challengers Bangalore",145/4,146/2,"Royal Challengers Bangalore","YS Chahal"
2014,"Sheikh Zayed Stadium","Abu Dhabi",2014-04-18,"Chennai Super Kings","Kings XI Punjab",205/4,206/4,"Kings XI Punjab","GJ Maxwell"
2014,"Sheikh Zayed Stadium","Abu Dhabi",2014-04-18,"Sunrisers Hyderabad","Rajasthan Royals",133/6,135/6,"Rajasthan Royals","AM Rahane"
2014,"Dubai International Cricket Stadium",NA,2014-04-19,"Royal Challengers Bangalore","Mumbai Indians",115/9,116/3,"Royal Challengers Bangalore","PA Patel"
2014,"Dubai International Cricket Stadium",NA,2014-04-19,"Kolkata Knight Riders","Delhi Daredevils",166/5,167/6,"Delhi Daredevils","JP Duminy"
2014,"Sharjah Cricket Stadium",NA,2014-04-20,"Rajasthan Royals","Kings XI Punjab",191/5,193/3,"Kings XI Punjab","GJ Maxwell"
2014,"Sheikh Zayed Stadium","Abu Dhabi",2014-04-21,"Chennai Super Kings","Delhi Daredevils",177/7,84/9,"Chennai Super Kings","SK Raina"
2014,"Sharjah Cricket Stadium",NA,2014-04-22,"Kings XI Punjab","Sunrisers Hyderabad",193/6,121/10,"Kings XI Punjab","GJ Maxwell"
2014,"Dubai International Cricket Stadium",NA,2014-04-23,"Rajasthan Royals","Chennai Super Kings",140/6,133/10,"Chennai Super Kings","RA Jadeja"
2014,"Sharjah Cricket Stadium",NA,2014-04-24,"Royal Challengers Bangalore","Kolkata Knight Riders",150/7,148/5,"Kolkata Knight Riders","CA Lynn"
2014,"Dubai International Cricket Stadium",NA,2014-04-25,"Sunrisers Hyderabad","Delhi Daredevils",184/1,180/4,"Sunrisers Hyderabad","AJ Finch"
2014,"Dubai International Cricket Stadium",NA,2014-04-25,"Chennai Super Kings","Mumbai Indians",141/7,142/3,"Chennai Super Kings","MM Sharma"
2014,"Sheikh Zayed Stadium","Abu Dhabi",2014-04-26,"Rajasthan Royals","Royal Challengers Bangalore",70/10,71/4,"Rajasthan Royals","PV Tambe"
2014,"Sheikh Zayed Stadium","Abu Dhabi",2014-04-26,"Kolkata Knight Riders","Kings XI Punjab",132/9,109/10,"Kings XI Punjab","Sandeep Sharma"
2014,"Sharjah Cricket Stadium",NA,2014-04-27,"Delhi Daredevils","Mumbai Indians",125/7,126/4,"Delhi Daredevils","M Vijay"
2014,"Sharjah Cricket Stadium",NA,2014-04-27,"Sunrisers Hyderabad","Chennai Super Kings",145/5,146/5,"Chennai Super Kings","DR Smith"
2014,"Dubai International Cricket Stadium",NA,2014-04-28,"Kings XI Punjab","Royal Challengers Bangalore",124/8,127/5,"Kings XI Punjab","Sandeep Sharma"
2014,"Sheikh Zayed Stadium","Abu Dhabi",2014-04-29,"Kolkata Knight Riders","Rajasthan Royals",152/5,152/8,"Rajasthan Royals","JP Faulkner"
2014,"Dubai International Cricket Stadium",NA,2014-04-30,"Mumbai Indians","Sunrisers Hyderabad",172/5,157/7,"Sunrisers Hyderabad","B Kumar"
2014,"JSCA International Stadium Complex",Ranchi,2014-05-02,"Chennai Super Kings","Kolkata Knight Riders",148/3,114/9,"Chennai Super Kings","RA Jadeja"
2014,"Wankhede Stadium",Mumbai,2014-05-03,"Mumbai Indians","Kings XI Punjab",168/5,170/5,"Mumbai Indians","CJ Anderson"
2014,"Feroz Shah Kotla",Delhi,2014-05-03,"Delhi Daredevils","Rajasthan Royals",152/5,156/3,"Rajasthan Royals","KK Nair"
2014,"M Chinnaswamy Stadium",Bangalore,2014-05-04,"Royal Challengers Bangalore","Sunrisers Hyderabad",155/6,158/6,"Royal Challengers Bangalore","AB de Villiers"
2014,"Feroz Shah Kotla",Delhi,2014-05-05,"Delhi Daredevils","Chennai Super Kings",178/5,181/2,"Chennai Super Kings","DR Smith"
2014,"Wankhede Stadium",Mumbai,2014-05-06,"Mumbai Indians","Royal Challengers Bangalore",187/5,168/8,"Mumbai Indians","RG Sharma"
2014,"Feroz Shah Kotla",Delhi,2014-05-07,"Delhi Daredevils","Kolkata Knight Riders",160/5,161/2,"Kolkata Knight Riders","G Gambhir"
2014,"Barabati Stadium",Cuttack,2014-05-07,"Kings XI Punjab","Chennai Super Kings",231/4,187/6,"Kings XI Punjab","GJ Maxwell"
2014,"M Chinnaswamy Stadium",Bangalore,2014-05-09,"Royal Challengers Bangalore","Kings XI Punjab",198/8,166/9,"Kings XI Punjab","Sandeep Sharma"
2014,"Feroz Shah Kotla",Delhi,2014-05-10,"Delhi Daredevils","Sunrisers Hyderabad",143/7,44/2,"Sunrisers Hyderabad","DW Steyn"
2014,"Wankhede Stadium",Mumbai,2014-05-10,"Mumbai Indians","Chennai Super Kings",157/6,160/6,"Chennai Super Kings","DR Smith"
2014,"Barabati Stadium",Cuttack,2014-05-11,"Kings XI Punjab","Kolkata Knight Riders",149/8,150/1,"Kolkata Knight Riders","G Gambhir"
2014,"M Chinnaswamy Stadium",Bangalore,2014-05-11,"Royal Challengers Bangalore","Rajasthan Royals",190/5,191/5,"Rajasthan Royals","JP Faulkner"
2014,"JSCA International Stadium Complex",Ranchi,2014-05-13,"Chennai Super Kings","Rajasthan Royals",148/8,149/5,"Chennai Super Kings","RA Jadeja"
2014,"M Chinnaswamy Stadium",Bangalore,2014-05-13,"Royal Challengers Bangalore","Delhi Daredevils",186/4,170/7,"Royal Challengers Bangalore","Yuvraj Singh"
2014,"Barabati Stadium",Cuttack,2014-05-14,"Kolkata Knight Riders","Mumbai Indians",141/5,142/4,"Kolkata Knight Riders","RV Uthappa"
2014,"JSCA International Stadium Complex",Ranchi,2014-05-18,"Chennai Super Kings","Royal Challengers Bangalore",138/4,142/5,"Royal Challengers Bangalore","AB de Villiers"
2014,"Feroz Shah Kotla",Delhi,2014-05-19,"Delhi Daredevils","Kings XI Punjab",164/7,165/6,"Kings XI Punjab","AR Patel"
2014,"Eden Gardens",Kolkata,2014-05-20,"Kolkata Knight Riders","Chennai Super Kings",154/4,156/2,"Kolkata Knight Riders","RV Uthappa"
2014,"Eden Gardens",Kolkata,2014-05-22,"Kolkata Knight Riders","Royal Challengers Bangalore",195/4,165/5,"Kolkata Knight Riders","RV Uthappa"
2014,"JSCA International Stadium Complex",Ranchi,2014-05-22,"Chennai Super Kings","Sunrisers Hyderabad",185/3,189/4,"Sunrisers Hyderabad","DA Warner"
2014,"Wankhede Stadium",Mumbai,2014-05-23,"Mumbai Indians","Delhi Daredevils",173/10,158/4,"Mumbai Indians","MEK Hussey"
2014,"M Chinnaswamy Stadium",Bangalore,2014-05-24,"Royal Challengers Bangalore","Chennai Super Kings",154/6,160/2,"Chennai Super Kings","MS Dhoni"
2014,"Eden Gardens",Kolkata,2014-05-24,"Kolkata Knight Riders","Sunrisers Hyderabad",160/7,161/6,"Kolkata Knight Riders","YK Pathan"
2014,"Wankhede Stadium",Mumbai,2014-05-25,"Mumbai Indians","Rajasthan Royals",189/4,195/5,"Mumbai Indians","CJ Anderson"
2014,"Eden Gardens",Kolkata,2014-05-27,"Kings XI Punjab","Kolkata Knight Riders",163/8,135/8,"Kolkata Knight Riders","UT Yadav"
2014,"Brabourne Stadium",Mumbai,2014-05-28,"Chennai Super Kings","Mumbai Indians",173/8,176/3,"Chennai Super Kings","SK Raina"
2014,"Wankhede Stadium",Mumbai,2014-05-30,"Chennai Super Kings","Kings XI Punjab",226/6,202/7,"Kings XI Punjab","V Sehwag"
2014,"M Chinnaswamy Stadium",Bangalore,2014-06-01,"Kolkata Knight Riders","Kings XI Punjab",199/4,200/7,"Kolkata Knight Riders","MK Pandey"
2015,"Eden Gardens",Kolkata,2015-04-08,"Kolkata Knight Riders","Mumbai Indians",168/3,170/3,"Kolkata Knight Riders","M Morkel"
2015,"Maharashtra Cricket Association Stadium",Pune,2015-04-10,"Kings XI Punjab","Rajasthan Royals",162/7,136/8,"Rajasthan Royals","JP Faulkner"
2015,"Eden Gardens",Kolkata,2015-04-11,"Kolkata Knight Riders","Royal Challengers Bangalore",177/6,179/7,"Royal Challengers Bangalore","CH Gayle"
2015,"Feroz Shah Kotla",Delhi,2015-04-12,"Delhi Daredevils","Rajasthan Royals",184/3,186/7,"Rajasthan Royals","DJ Hooda"
2015,"Wankhede Stadium",Mumbai,2015-04-12,"Mumbai Indians","Kings XI Punjab",177/5,159/7,"Kings XI Punjab","GJ Bailey"
2015,"M Chinnaswamy Stadium",Bangalore,2015-04-13,"Royal Challengers Bangalore","Sunrisers Hyderabad",166/10,172/2,"Sunrisers Hyderabad","DA Warner"
2015,"Eden Gardens",Kolkata,2015-04-30,"Kolkata Knight Riders","Chennai Super Kings",165/9,169/3,"Kolkata Knight Riders","AD Russell"
2015,"Maharashtra Cricket Association Stadium",Pune,2015-04-15,"Kings XI Punjab","Delhi Daredevils",165/7,169/5,"Delhi Daredevils","MA Agarwal"
2015,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",Visakhapatnam,2015-04-16,"Sunrisers Hyderabad","Rajasthan Royals",127/5,131/4,"Rajasthan Royals","AM Rahane"
2015,"Wankhede Stadium",Mumbai,2015-04-17,"Mumbai Indians","Chennai Super Kings",183/7,189/4,"Chennai Super Kings","A Nehra"
2015,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",Visakhapatnam,2015-04-18,"Sunrisers Hyderabad","Delhi Daredevils",167/4,163/8,"Delhi Daredevils","JP Duminy"
2015,"Maharashtra Cricket Association Stadium",Pune,2015-04-18,"Kings XI Punjab","Kolkata Knight Riders",155/9,159/6,"Kolkata Knight Riders","AD Russell"
2015,"M Chinnaswamy Stadium",Bangalore,2015-04-19,"Royal Challengers Bangalore","Mumbai Indians",209/7,191/7,"Mumbai Indians","Harbhajan Singh"
2015,"Feroz Shah Kotla",Delhi,2015-04-20,"Delhi Daredevils","Kolkata Knight Riders",146/8,147/4,"Kolkata Knight Riders","UT Yadav"
2015,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",Visakhapatnam,2015-04-22,"Sunrisers Hyderabad","Kolkata Knight Riders",176/4,101/4,"Sunrisers Hyderabad","DA Warner"
2015,"M Chinnaswamy Stadium",Bangalore,2015-04-22,"Royal Challengers Bangalore","Chennai Super Kings",181/8,154/8,"Chennai Super Kings","SK Raina"
2015,"Feroz Shah Kotla",Delhi,2015-04-23,"Delhi Daredevils","Mumbai Indians",190/4,153/9,"Delhi Daredevils","SS Iyer"
2015,"Wankhede Stadium",Mumbai,2015-04-25,"Mumbai Indians","Sunrisers Hyderabad",157/8,137/8,"Mumbai Indians","SL Malinga"
2015,"Feroz Shah Kotla",Delhi,2015-04-26,"Delhi Daredevils","Royal Challengers Bangalore",95/10,99/0,"Royal Challengers Bangalore","VR Aaron"
2015,"Eden Gardens",Kolkata,2015-05-07,"Kolkata Knight Riders","Delhi Daredevils",171/7,158/6,"Kolkata Knight Riders","PP Chawla"
2015,"M Chinnaswamy Stadium",Bangalore,2015-04-29,"Royal Challengers Bangalore","Rajasthan Royals",200/7,NULL,NA,NA
2015,"Feroz Shah Kotla",Delhi,2015-05-01,"Delhi Daredevils","Kings XI Punjab",118/8,119/1,"Delhi Daredevils","NM Coulter-Nile"
2015,"Wankhede Stadium",Mumbai,2015-05-01,"Mumbai Indians","Rajasthan Royals",187/5,179/7,"Mumbai Indians","AT Rayudu"
2015,"M Chinnaswamy Stadium",Bangalore,2015-05-02,"Royal Challengers Bangalore","Kolkata Knight Riders",111/4,115/3,"Royal Challengers Bangalore","Mandeep Singh"
