BATSMAN_NAME
"A Ashish Reddy"
"MK Tiwary"
"ML Hayden"
"MM Ali"
"MM Patel"
"MM Sharma"
"MN Samuels"
"MN van Wyk"
"Mohammad Ashraful"
"Mohammad Asif"
"Mohammad Hafeez"
"Mohammad Nabi"
"Mohammed Shami"
"Mohammed Siraj"
"MP Stoinis"
"MR Marsh"
"MS Bisla"
"MS Dhoni"
"MS Gony"
"MS Wade"
"Mujeeb Ur Rahman"
"Mustafizur Rahman"
"MV Boucher"
"N Jagadeesan"
"N Pooran"
"N Rana"
"N Saini"
"NA Saini"
"ND Doshi"
"Niraj Patel"
"NJ Maddinson"
"NJ Rimmington"
"NL McCullum"
"NLTC Perera"
"NM Coulter-Nile"
"NS Naik"
"NV Ojha"
"OA Shah"
"P Awana"
"P Chopra"
"P Dogra"
"P Dubey"
"P Kumar"
"P Negi"
"P Parameswaran"
"P Ray Barman"
"P Sahu"
"P Simran Singh"
"PA Patel"
"PA Reddy"
"Pankaj Singh"
"Parvez Rasool"
"PC Valthaty"
"PD Collingwood"
"PJ Cummins"
"PJ Sangwan"
"PK Garg"
"PM Sarvesh Kumar"
"PP Chawla"
"PP Ojha"
"PP Shaw"
"PR Shah"
"PSP Handscomb"
"PV Tambe"
"Q de Kock"
"R Ashwin"
"R Bhatia"
"R Bishnoi"
"R Dhawan"
"R Dravid"
"R McLaren"
"R Ninan"
"R Parag"
"R Rampaul"
"R Sathish"
"R Sharma"
"R Shukla"
"R Tewatia"
"R Vinay Kumar"
"RA Jadeja"
"RA Tripathi"
"Rashid Khan"
"Rasikh Salam"
"Ravi Bishnoi"
"RD Chahar"
"RD Gaikwad"
"RE Levi"
"RE van der Merwe"
"RG More"
"RG Sharma"
"RJ Harris"
"RJ Peterson"
"RJ Quiney"
"RK Bhui"
"RK Singh"
"RN ten Doeschate"
"RP Singh"
"RR Bhatkal"
"RR Pant"
"RR Powar"
"RR Raje"
"RR Rossouw"
"RR Sarwan"
"RS Bopara"
"RS Gavaskar"
"RS Sodhi"
"RT Ponting"
"RV Gomez"
"RV Uthappa"
"S Anirudha"
"S Aravind"
"S Badree"
"S Badrinath"
"S Chanderpaul"
"S Dhawan"
"S Dube"
"S Gopal"
"S Kaul"
"S Kaushik"
"S Ladda"
"S Lamichhane"
"S Nadeem"
"S Narwal"
"S Rana"
"S Randiv"
"S Sohal"
"S Sreesanth"
"S Sriram"
"S Tyagi"
"S Vidyut"
"SA Abbott"
"SA Asnodkar"
"SA Yadav"
"Sachin Baby"
"Salman Butt"
"Sandeep Sharma"
"SB Bangar"
"SB Jakati"
"SB Joshi"
"SB Styris"
"SB Wagh"
"SC Ganguly"
"SD Chitnis"
"SD Lad"
"SE Bond"
"SE Marsh"
"SE Rutherford"
"Shahbaz Ahmed"
"Shahid Afridi"
"Shakib Al Hasan"
"Shivam Mavi"
"Shivam Sharma"
"Shoaib Ahmed"
"Shoaib Akhtar"
"Shoaib Malik"
"Shubman Gill"
"SJ Srivastava"
"SK Raina"
"SK Trivedi"
"SK Warne"
"SL Malinga"
"SM Curran"
"SM Harwood"
"SM Katich"
"SM Pollock"
"SMSM Senanayake"
"SN Khan"
"SN Thakur"
"SO Hetmyer"
"Sohail Tanvir"
"SP Fleming"
"SP Goswami"
"SP Jackson"
"SP Narine"
"SPD Smith"
"SR Tendulkar"
"SR Watson"
"SS Cottrell"
"SS Iyer"
"SS Shaikh"
"SS Tiwary"
"ST Jayasuriya"
"STR Binny"
"Sunny Gupta"
"Sunny Singh"
"SV Samson"
"SW Billings"
"SW Tait"
"Swapnil Singh"
"T Banton"
"T Henderson"
"T Kohli"
"T Natarajan"
"T Taibu"
"T Thushara"
"TA Boult"
"TD Paine"
"TG Southee"
"TK Curran"
"TL Suman"
"TM Dilshan"
"TM Head"
"TM Srivastava"
"TR Birt"
"TS Mills"
"TU Deshpande"
"U Kaul"
"UA Birla"
"UBT Chand"
"Umar Gul"
"UT Khawaja"
"UT Yadav"
"V Kohli"
"V Pratap Singh"
"V Sehwag"
"V Shankar"
"VH Zol"
"Vishnu Vinod"
"VR Aaron"
"VRV Singh"
"VS Malik"
"VS Yeligati"
"VVS Laxman"
"VY Mahesh"
"W Jaffer"
"WA Mota"
"Washington Sundar"
"WD Parnell"
"WP Saha"
"WPUJC Vaas"
"X Thalaivan Sargunam"
"Y Gnaneswara Rao"
"Y Nagar"
"Y Prithvi Raj"
"Y Venugopal Rao"
"YA Abdulla"
"Yashpal Singh"
"YBK Jaiswal"
"YK Pathan"
"Younis Khan"
"YS Chahal"
"Yuvraj Singh"
"YV Takawale"
"Z Khan"
